election_cycle,report_date,region,elections,keyword,spend_usd
US-Federal-2018,2019-12-02,US,US-Federal,elizabeth warren,1491100
US-Federal-2018,2019-12-02,US,US-Federal,pete buttigieg,1403700
US-Federal-2018,2019-12-02,US,US-Federal,kamala harris,964900
US-Federal-2018,2019-12-02,US,US-Federal,tulsi gabbard,742800
US-Federal-2018,2019-12-02,US,US-Federal,donald trump,727400
US-Federal-2018,2019-12-02,US,US-Federal,beto o rourke,673300
US-Federal-2018,2019-11-25,US,US-Federal,elizabeth warren,1479900
US-Federal-2018,2019-11-25,US,US-Federal,pete buttigieg,1379200
US-Federal-2018,2019-11-25,US,US-Federal,kamala harris,964300
US-Federal-2018,2019-11-25,US,US-Federal,tulsi gabbard,715100
US-Federal-2018,2019-11-25,US,US-Federal,donald trump,685900
US-Federal-2018,2019-11-25,US,US-Federal,beto o rourke,673300
US-Federal-2018,2019-11-20,US,US-Federal,elizabeth warren,1469600
US-Federal-2018,2019-11-20,US,US-Federal,pete buttigieg,1312100
US-Federal-2018,2019-11-20,US,US-Federal,kamala harris,962900
US-Federal-2018,2019-11-20,US,US-Federal,tulsi gabbard,692300
US-Federal-2018,2019-11-20,US,US-Federal,beto o rourke,673300
US-Federal-2018,2019-11-20,US,US-Federal,donald trump,665300
US-Federal-2018,2019-11-18,US,US-Federal,elizabeth warren,1466600
US-Federal-2018,2019-11-18,US,US-Federal,pete buttigieg,1286400
US-Federal-2018,2019-11-18,US,US-Federal,kamala harris,962800
US-Federal-2018,2019-11-18,US,US-Federal,tulsi gabbard,690300
US-Federal-2018,2019-11-18,US,US-Federal,beto o rourke,673300
US-Federal-2018,2019-11-18,US,US-Federal,donald trump,659100
US-Federal-2018,2019-11-11,US,US-Federal,elizabeth warren,1452300
US-Federal-2018,2019-11-11,US,US-Federal,pete buttigieg,1209500
US-Federal-2018,2019-11-11,US,US-Federal,kamala harris,962200
US-Federal-2018,2019-11-11,US,US-Federal,tulsi gabbard,681000
US-Federal-2018,2019-11-11,US,US-Federal,beto o rourke,673300
US-Federal-2018,2019-11-11,US,US-Federal,donald trump,628800
US-Federal-2018,2019-11-04,US,US-Federal,elizabeth warren,1430200
US-Federal-2018,2019-11-04,US,US-Federal,pete buttigieg,1151700
US-Federal-2018,2019-11-04,US,US-Federal,kamala harris,952600
US-Federal-2018,2019-11-04,US,US-Federal,beto o rourke,673300
US-Federal-2018,2019-11-04,US,US-Federal,tulsi gabbard,661600
US-Federal-2018,2019-11-04,US,US-Federal,donald trump,609800
US-Federal-2018,2019-10-28,US,US-Federal,elizabeth warren,1408200
US-Federal-2018,2019-10-28,US,US-Federal,pete buttigieg,1106500
US-Federal-2018,2019-10-28,US,US-Federal,kamala harris,939000
US-Federal-2018,2019-10-28,US,US-Federal,beto o rourke,673200
US-Federal-2018,2019-10-28,US,US-Federal,tulsi gabbard,643700
US-Federal-2018,2019-10-28,US,US-Federal,donald trump,581900
US-Federal-2018,2019-10-21,US,US-Federal,elizabeth warren,1385600
US-Federal-2018,2019-10-21,US,US-Federal,pete buttigieg,1083400
US-Federal-2018,2019-10-21,US,US-Federal,kamala harris,934100
US-Federal-2018,2019-10-21,US,US-Federal,beto o rourke,673000
US-Federal-2018,2019-10-21,US,US-Federal,tulsi gabbard,604600
US-Federal-2018,2019-10-21,US,US-Federal,donald trump,567400
US-Federal-2018,2019-10-14,US,US-Federal,elizabeth warren,1337200
US-Federal-2018,2019-10-14,US,US-Federal,pete buttigieg,974800
US-Federal-2018,2019-10-14,US,US-Federal,kamala harris,909300
US-Federal-2018,2019-10-14,US,US-Federal,beto o rourke,672400
US-Federal-2018,2019-10-14,US,US-Federal,donald trump,545900
US-Federal-2018,2019-10-14,US,US-Federal,tulsi gabbard,518800
US-Federal-2018,2019-10-07,US,US-Federal,elizabeth warren,1284900
US-Federal-2018,2019-10-07,US,US-Federal,pete buttigieg,950500
US-Federal-2018,2019-10-07,US,US-Federal,kamala harris,908600
US-Federal-2018,2019-10-07,US,US-Federal,beto o rourke,672400
US-Federal-2018,2019-10-07,US,US-Federal,tulsi gabbard,509600
US-Federal-2018,2019-10-07,US,US-Federal,donald trump,499100
US-Federal-2018,2019-09-30,US,US-Federal,elizabeth warren,1243600
US-Federal-2018,2019-09-30,US,US-Federal,pete buttigieg,929500
US-Federal-2018,2019-09-30,US,US-Federal,kamala harris,887700
US-Federal-2018,2019-09-30,US,US-Federal,beto o rourke,671600
US-Federal-2018,2019-09-30,US,US-Federal,tulsi gabbard,501600
US-Federal-2018,2019-09-30,US,US-Federal,joe biden,400900
US-Federal-2018,2019-09-23,US,US-Federal,elizabeth warren,1210900
US-Federal-2018,2019-09-23,US,US-Federal,pete buttigieg,907400
US-Federal-2018,2019-09-23,US,US-Federal,kamala harris,858800
US-Federal-2018,2019-09-23,US,US-Federal,beto o rourke,671500
US-Federal-2018,2019-09-23,US,US-Federal,tulsi gabbard,487600
US-Federal-2018,2019-09-23,US,US-Federal,joe biden,395400
US-Federal-2018,2019-09-16,US,US-Federal,elizabeth warren,1160700
US-Federal-2018,2019-09-16,US,US-Federal,pete buttigieg,877800
US-Federal-2018,2019-09-16,US,US-Federal,kamala harris,834600
US-Federal-2018,2019-09-16,US,US-Federal,beto o rourke,670700
US-Federal-2018,2019-09-16,US,US-Federal,tulsi gabbard,476900
US-Federal-2018,2019-09-16,US,US-Federal,joe biden,394500
US-Federal-2018,2019-09-02,US,US-Federal,elizabeth warren,1026700
US-Federal-2018,2019-09-02,US,US-Federal,kamala harris,806200
US-Federal-2018,2019-09-02,US,US-Federal,pete buttigieg,804800
US-Federal-2018,2019-09-02,US,US-Federal,beto o rourke,662700
US-Federal-2018,2019-09-02,US,US-Federal,tulsi gabbard,451900
US-Federal-2018,2019-09-02,US,US-Federal,joe biden,388800
US-Federal-2018,2019-08-26,US,US-Federal,elizabeth warren,979600
US-Federal-2018,2019-08-26,US,US-Federal,kamala harris,806000
US-Federal-2018,2019-08-26,US,US-Federal,pete buttigieg,788300
US-Federal-2018,2019-08-26,US,US-Federal,beto o rourke,657000
US-Federal-2018,2019-08-26,US,US-Federal,tulsi gabbard,436800
US-Federal-2018,2019-08-26,US,US-Federal,joe biden,388100
US-Federal-2018,2019-08-19,US,US-Federal,elizabeth warren,928700
US-Federal-2018,2019-08-19,US,US-Federal,kamala harris,805500
US-Federal-2018,2019-08-19,US,US-Federal,pete buttigieg,764300
US-Federal-2018,2019-08-19,US,US-Federal,beto o rourke,654500
US-Federal-2018,2019-08-19,US,US-Federal,tulsi gabbard,425000
US-Federal-2018,2019-08-19,US,US-Federal,joe biden,387400
US-Federal-2018,2019-08-12,US,US-Federal,elizabeth warren,869600
US-Federal-2018,2019-08-12,US,US-Federal,kamala harris,785500
US-Federal-2018,2019-08-12,US,US-Federal,pete buttigieg,739400
US-Federal-2018,2019-08-12,US,US-Federal,beto o rourke,651200
US-Federal-2018,2019-08-12,US,US-Federal,tulsi gabbard,410500
US-Federal-2018,2019-08-12,US,US-Federal,joe biden,386000
US-Federal-2018,2019-08-05,US,US-Federal,elizabeth warren,828200
US-Federal-2018,2019-08-05,US,US-Federal,kamala harris,748700
US-Federal-2018,2019-08-05,US,US-Federal,pete buttigieg,717200
US-Federal-2018,2019-08-05,US,US-Federal,beto o rourke,643600
US-Federal-2018,2019-08-05,US,US-Federal,tulsi gabbard,383700
US-Federal-2018,2019-08-05,US,US-Federal,joe biden,381600
US-Federal-2018,2019-07-29,US,US-Federal,elizabeth warren,745000
US-Federal-2018,2019-07-29,US,US-Federal,pete buttigieg,648400
US-Federal-2018,2019-07-29,US,US-Federal,beto o rourke,640200
US-Federal-2018,2019-07-29,US,US-Federal,kamala harris,633300
US-Federal-2018,2019-07-29,US,US-Federal,joe biden,357900
US-Federal-2018,2019-07-29,US,US-Federal,rick scott,296000
US-Federal-2018,2019-07-22,US,US-Federal,elizabeth warren,726100
US-Federal-2018,2019-07-22,US,US-Federal,beto o rourke,640200
US-Federal-2018,2019-07-22,US,US-Federal,pete buttigieg,630800
US-Federal-2018,2019-07-22,US,US-Federal,kamala harris,606300
US-Federal-2018,2019-07-22,US,US-Federal,joe biden,353400
US-Federal-2018,2019-07-22,US,US-Federal,rick scott,296000
US-Federal-2018,2019-07-15,US,US-Federal,elizabeth warren,704600
US-Federal-2018,2019-07-15,US,US-Federal,beto o rourke,640200
US-Federal-2018,2019-07-15,US,US-Federal,pete buttigieg,606800
US-Federal-2018,2019-07-15,US,US-Federal,kamala harris,564400
US-Federal-2018,2019-07-15,US,US-Federal,joe biden,345000
US-Federal-2018,2019-07-15,US,US-Federal,rick scott,296000
